City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Teguise,ES,2021-09-17 12:13:38,29.0605,-13.564,77.22,57,40,19.57,scattered clouds
190,Terrace,CA,2021-09-17 12:13:38,54.5163,-128.6035,43.43,99,100,1.95,moderate rain
191,Ahipara,NZ,2021-09-17 12:13:39,-35.1667,173.1667,53.65,77,54,11.72,broken clouds
192,Hay River,CA,2021-09-17 12:11:42,60.8156,-115.7999,38.1,87,87,8.01,overcast clouds
193,Adrar,MR,2021-09-17 12:13:39,20.5022,-10.0711,95.0,27,100,5.7,overcast clouds
194,Jardim,BR,2021-09-17 12:13:40,-21.4803,-56.1381,84.09,51,41,8.39,scattered clouds
195,Hami,CN,2021-09-17 12:13:40,42.8,93.45,82.76,17,89,7.92,overcast clouds
196,Kapuskasing,CA,2021-09-17 12:13:40,49.4169,-82.4331,59.02,81,100,10.58,overcast clouds
197,Calamar,CO,2021-09-17 12:13:41,10.2511,-74.9146,80.55,87,4,4.59,clear sky
198,Winnemucca,US,2021-09-17 12:13:41,40.973,-117.7357,42.85,42,1,0.0,clear sky
199,Castro,BR,2021-09-17 12:13:42,-24.7911,-50.0119,55.81,97,100,9.82,overcast clouds
200,Eureka,US,2021-09-17 12:13:42,40.8021,-124.1637,52.93,90,21,1.99,few clouds
201,Atascadero,US,2021-09-17 12:13:42,35.4894,-120.6707,54.32,89,12,2.08,few clouds
202,Shibetsu,JP,2021-09-17 12:13:43,43.659,145.132,55.13,84,84,10.56,broken clouds
203,Pervomayskoye,RU,2021-09-17 12:13:43,43.919,46.7102,70.29,45,88,13.47,overcast clouds
204,Bayonet Point,US,2021-09-17 12:13:43,28.3267,-82.6834,78.94,97,97,5.84,overcast clouds
205,Dabeiba,CO,2021-09-17 12:13:44,7.0017,-76.2672,73.08,93,79,2.86,broken clouds
206,Port Lincoln,AU,2021-09-17 12:13:44,-34.7333,135.8667,54.64,64,4,22.24,clear sky
207,Yagodnoye,RU,2021-09-17 12:13:45,62.55,149.6667,44.29,79,16,6.02,few clouds
208,Kaitangata,NZ,2021-09-17 12:13:45,-46.2817,169.8464,35.56,80,34,5.95,scattered clouds
209,Ostrovnoy,RU,2021-09-17 12:13:45,68.0531,39.5131,44.67,73,100,8.43,overcast clouds
210,La Asuncion,VE,2021-09-17 12:13:46,11.0333,-63.8628,82.11,77,0,13.87,clear sky
211,Nemuro,JP,2021-09-17 12:13:46,43.3236,145.575,57.49,77,85,14.92,overcast clouds
212,Severo-Kurilsk,RU,2021-09-17 12:13:47,50.6789,156.125,48.9,78,100,8.25,overcast clouds
213,Belaya Gora,RU,2021-09-17 12:12:20,68.5333,146.4167,45.45,73,100,7.18,overcast clouds
214,Tautira,PF,2021-09-17 12:13:47,-17.7333,-149.15,73.42,78,35,21.14,light rain
215,Namibe,AO,2021-09-17 12:13:47,-15.1961,12.1522,72.57,66,35,11.56,scattered clouds
216,Saint-Louis,SN,2021-09-17 12:13:48,16.3333,-15.0,89.76,54,78,9.13,broken clouds
217,Slany,CZ,2021-09-17 12:13:48,50.2305,14.0869,62.98,77,75,12.66,broken clouds
218,Virden,US,2021-09-17 12:13:48,39.5009,-89.7679,65.62,95,0,5.48,clear sky
219,Cherskiy,RU,2021-09-17 12:13:49,68.75,161.3,40.05,79,100,6.98,overcast clouds
220,Sembakung,ID,2021-09-17 12:13:49,3.8167,117.25,75.36,92,59,1.74,broken clouds
221,Gladstone,AU,2021-09-17 12:13:49,-23.85,151.25,67.93,68,40,5.75,scattered clouds
222,Nagato,JP,2021-09-17 12:13:50,34.3833,131.2,76.91,90,100,15.03,light rain
223,Kuusamo,FI,2021-09-17 12:13:51,65.9667,29.1833,44.64,65,90,4.61,overcast clouds
224,Piacabucu,BR,2021-09-17 12:13:51,-10.4056,-36.4344,76.91,78,55,13.42,broken clouds
225,Saint-Philippe,RE,2021-09-17 12:13:52,-21.3585,55.7679,78.35,72,10,8.48,clear sky
226,Coihaique,CL,2021-09-17 12:13:52,-45.5752,-72.0662,42.75,81,40,6.91,scattered clouds
227,Lompoc,US,2021-09-17 12:13:16,34.6391,-120.4579,58.08,88,90,0.0,overcast clouds
228,Haverfordwest,GB,2021-09-17 12:13:52,51.8017,-4.9691,64.54,79,100,18.95,overcast clouds
229,Pisco,PE,2021-09-17 12:13:53,-13.7,-76.2167,56.01,94,54,3.44,mist
230,Lagoa,PT,2021-09-17 12:13:53,39.05,-27.9833,67.84,74,98,11.5,overcast clouds
231,Changji,CN,2021-09-17 12:13:54,44.0167,87.3167,83.19,17,0,2.24,clear sky
232,Georgetown,MY,2021-09-17 12:12:46,5.4112,100.3354,82.33,84,20,3.44,few clouds
233,Warri,NG,2021-09-17 12:13:54,5.5167,5.75,82.0,75,100,5.06,overcast clouds
234,Bambous Virieux,MU,2021-09-17 12:13:55,-20.3428,57.7575,76.21,77,27,9.75,scattered clouds
235,Belgrade,RS,2021-09-17 12:12:32,44.804,20.4651,83.86,37,0,11.5,clear sky
236,Novonikolayevskiy,RU,2021-09-17 12:13:55,50.9738,42.3649,64.89,32,87,8.84,overcast clouds
237,Mercedes,AR,2021-09-17 12:13:56,-34.6515,-59.4307,61.84,71,2,9.17,clear sky
238,Saskylakh,RU,2021-09-17 12:13:56,71.9167,114.0833,32.29,86,100,14.43,overcast clouds
239,Acapulco,MX,2021-09-17 12:11:52,16.8634,-99.8901,76.77,85,86,4.29,overcast clouds
240,Namatanai,PG,2021-09-17 12:13:56,-3.6667,152.4333,79.41,82,48,8.34,scattered clouds
241,Thinadhoo,MV,2021-09-17 12:13:57,0.5333,72.9333,83.77,69,93,5.41,overcast clouds
242,Odweyne,SO,2021-09-17 12:13:57,9.4092,45.064,91.26,24,30,7.2,scattered clouds
243,Te Anau,NZ,2021-09-17 12:13:57,-45.4167,167.7167,33.58,93,53,0.74,broken clouds
244,Zhuanghe,CN,2021-09-17 12:13:58,39.7008,122.9911,67.32,87,49,5.91,light rain
245,Arras,FR,2021-09-17 12:13:58,50.293,2.7819,74.66,69,86,7.38,overcast clouds
246,Leiyang,CN,2021-09-17 12:13:58,26.4024,112.8591,86.7,53,76,4.47,moderate rain
247,Saldanha,ZA,2021-09-17 12:13:59,-33.0117,17.9442,64.92,53,0,7.76,clear sky
248,Iberia,US,2021-09-17 12:13:59,29.9502,-91.7507,75.27,100,20,0.0,few clouds
249,Aranos,NA,2021-09-17 12:13:59,-24.1333,19.1167,78.4,9,0,8.61,clear sky
250,Katsuura,JP,2021-09-17 12:14:00,35.1333,140.3,75.31,68,100,16.64,overcast clouds
251,San Patricio,US,2021-09-17 12:14:00,28.017,-97.5169,79.83,85,12,1.88,few clouds
252,Gualaquiza,EC,2021-09-17 12:14:01,-3.4,-78.55,60.75,97,100,0.81,overcast clouds
253,Hambantota,LK,2021-09-17 12:14:01,6.1241,81.1185,84.92,72,80,22.86,broken clouds
254,Inhambane,MZ,2021-09-17 12:14:02,-23.865,35.3833,70.29,77,98,19.15,light rain
255,Clyde River,CA,2021-09-17 12:14:02,70.4692,-68.5914,29.53,71,98,2.82,overcast clouds
256,Fort Nelson,CA,2021-09-17 12:14:02,58.8053,-122.7002,40.15,82,100,2.13,overcast clouds
257,Gunjur,GM,2021-09-17 12:14:03,13.2019,-16.7339,81.36,76,100,8.68,overcast clouds
258,Chichester,GB,2021-09-17 12:14:03,50.8367,-0.78,71.02,82,95,7.47,overcast clouds
259,Ribeira Grande,PT,2021-09-17 12:14:04,38.5167,-28.7,73.8,83,75,4.61,broken clouds
260,Livingston,GB,2021-09-17 12:10:40,55.9029,-3.5226,65.48,71,20,9.22,few clouds
261,Najran,SA,2021-09-17 12:14:04,17.4924,44.1277,93.58,11,22,13.42,few clouds
