City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Staraya Kulatka,RU,2021-09-17 10:37:27,52.7167,47.6167,50.09,49,100,8.63
115,Inongo,CD,2021-09-17 10:37:28,-1.95,18.2667,78.55,66,81,3.67
116,Axim,GH,2021-09-17 10:37:28,4.8699,-2.2405,81.14,78,80,4.99
117,Westport,US,2021-09-17 10:36:11,41.1415,-73.3579,70.25,94,90,8.01
118,Biltine,TD,2021-09-17 10:37:28,14.5333,20.9167,99.34,17,76,12.26
119,Tobol,KZ,2021-09-17 10:37:29,52.6844,62.5794,52.07,51,96,16.87
120,Mar Del Plata,AR,2021-09-17 10:37:29,-38.0023,-57.5575,44.62,93,0,6.91
121,Begamganj,IN,2021-09-17 10:37:30,23.6,78.3333,77.02,90,100,12.41
122,Katsuura,JP,2021-09-17 10:37:30,35.1333,140.3,75.31,69,100,15.32
123,Guerrero Negro,MX,2021-09-17 10:37:30,27.9769,-114.0611,69.49,80,45,13.33
124,San Andres Del Rabanedo,ES,2021-09-17 10:37:31,42.6117,-5.6167,74.03,63,20,8.05
125,Henties Bay,NA,2021-09-17 10:37:31,-22.116,14.2845,56.86,66,9,11.05
126,Upernavik,GL,2021-09-17 10:37:31,72.7868,-56.1549,26.74,70,99,5.37
127,Manokwari,ID,2021-09-17 10:37:32,-0.8667,134.0833,79.54,79,97,2.04
128,Vao,NC,2021-09-17 10:37:32,-22.6667,167.4833,68.22,58,0,13.49
129,Walvis Bay,NA,2021-09-17 10:37:32,-22.9575,14.5053,57.09,58,11,11.63
130,Porbandar,IN,2021-09-17 10:37:33,21.6422,69.6093,82.09,84,100,12.64
131,San Borja,BO,2021-09-17 10:37:33,-14.8167,-66.85,71.78,72,5,1.86
132,Nova Petropolis,BR,2021-09-17 10:34:08,-29.3764,-51.1144,55.69,86,29,2.39
133,Tuktoyaktuk,CA,2021-09-17 10:37:34,69.4541,-133.0374,41.77,86,74,12.55
134,Thompson,CA,2021-09-17 10:37:34,55.7435,-97.8558,42.96,100,90,8.05
