City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Dzilam Gonzalez,MX,75.72,overcast clouds,21.2833,-88.9333,posadas
67,Puri,IN,84.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
68,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Ponta Do Sol,PT,81.72,broken clouds,32.6667,-17.1,Hotel do Campo
73,Butaritari,KI,82.9,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
74,Mahenge,TZ,84.88,broken clouds,-8.6833,36.7167,Mkondosii Guest House
76,Surt,LY,84.99,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
78,Panzhihua,CN,72.95,broken clouds,26.5851,101.7128,Electric Power Hotel
84,Pushkar,IN,81.1,overcast clouds,26.5,74.55,Orchard - Tents and Tranquility
85,Sao Filipe,CV,79.72,overcast clouds,14.8961,-24.4956,Hotel Xaguate
91,Dingle,PH,75.56,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
100,Vilhena,BR,81.75,clear sky,-12.7406,-60.1458,Hotel Mirage
101,Atuona,PF,77.5,clear sky,-9.8,-139.0333,Villa Enata
102,Victoria,HK,87.33,light rain,22.2855,114.1577,Mini Hotel Central
105,Lagos,NG,87.46,overcast clouds,6.5833,3.75,
109,Jacareacanga,BR,84.22,clear sky,-6.2222,-57.7528,Casa do Ian😎
110,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
111,Coruripe,BR,76.98,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
114,Sfantu Gheorghe,RO,77.67,overcast clouds,45.8667,25.7833,Hotel Park
116,Lata,PT,76.35,broken clouds,40.1629,-8.3327,Casa Maquia
117,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
118,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
119,El Viejo,NI,74.1,scattered clouds,12.6633,-87.1672,Hotel El Viejo Inn
121,Avera,US,71.71,overcast clouds,33.194,-82.5271,
124,Tutin,RS,78.3,overcast clouds,42.9903,20.3314,Hotel Ideal
126,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
129,Bucerias,MX,75.97,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
132,Morant Bay,JM,83.66,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
133,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
134,Meulaboh,ID,80.56,overcast clouds,4.1363,96.1285,Kost Pria
135,Lamar,US,71.26,clear sky,33.6668,-95.5836,Kings Inn Paris TX
141,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
147,Antalaha,MG,75.69,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
148,Guanare,VE,74.37,few clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
150,Metro,ID,78.93,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
155,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
